question_E,query,question_VN
Find the title of course that is provided by both Statistics and Psychology departments.,SELECT title FROM course WHERE dept_name  =  'Statistics' INTERSECT SELECT title FROM course WHERE dept_name  =  'Psychology',Tìm tiêu đề tất nhiên được cung cấp bởi cả các bộ phận thống kê và tâm lý học.
What is the title of a course that is listed in both the Statistics and Psychology departments?,SELECT title FROM course WHERE dept_name  =  'Statistics' INTERSECT SELECT title FROM course WHERE dept_name  =  'Psychology',Tiêu đề của một khóa học được liệt kê trong cả hai bộ phận thống kê và tâm lý học là gì?
Find the title of course that is provided by Statistics but not Psychology departments.,SELECT title FROM course WHERE dept_name  =  'Statistics' EXCEPT SELECT title FROM course WHERE dept_name  =  'Psychology',Tìm tiêu đề tất nhiên được cung cấp bởi các bộ phận thống kê nhưng không phải là tâm lý học.
What are the titles of courses that are in the Statistics department but not the Psychology department?,SELECT title FROM course WHERE dept_name  =  'Statistics' EXCEPT SELECT title FROM course WHERE dept_name  =  'Psychology',Các tiêu đề của các khóa học trong bộ phận thống kê nhưng không phải là bộ phận tâm lý?
Find the id of instructors who taught a class in Fall 2009 but not in Spring 2010.,SELECT id FROM teaches WHERE semester  =  'Fall' AND YEAR  =  2009 EXCEPT SELECT id FROM teaches WHERE semester  =  'Spring' AND YEAR  =  2010,Tìm ID của người hướng dẫn đã dạy một lớp vào mùa thu năm 2009 nhưng không phải vào mùa xuân năm 2010.
What are the ids of instructors who taught in the Fall of 2009 but not in the Spring of 2010?,SELECT id FROM teaches WHERE semester  =  'Fall' AND YEAR  =  2009 EXCEPT SELECT id FROM teaches WHERE semester  =  'Spring' AND YEAR  =  2010,ID của các giảng viên đã dạy vào mùa thu năm 2009 nhưng không phải vào mùa xuân năm 2010?
Find the name of students who took any class in the years of 2009 and 2010.,SELECT DISTINCT T1.name FROM student AS T1 JOIN takes AS T2 ON T1.id  =  T2.id WHERE YEAR  =  2009 OR YEAR  =  2010,Tìm tên của các sinh viên đã tham gia bất kỳ lớp học nào trong những năm 2009 và 2010.
What are the names of the students who took classes in 2009 or 2010?,SELECT DISTINCT T1.name FROM student AS T1 JOIN takes AS T2 ON T1.id  =  T2.id WHERE YEAR  =  2009 OR YEAR  =  2010,Tên của các sinh viên đã tham gia các lớp học trong năm 2009 hoặc 2010 là gì?
Find the names of the top 3 departments that provide the largest amount of courses?,SELECT dept_name FROM course GROUP BY dept_name ORDER BY count(*) DESC LIMIT 3,Tìm tên của 3 bộ phận hàng đầu cung cấp số lượng khóa học lớn nhất?
What are the names of the 3 departments with the most courses?,SELECT dept_name FROM course GROUP BY dept_name ORDER BY count(*) DESC LIMIT 3,Tên của 3 bộ phận với các khóa học nhất là gì?
Find the name of the department that offers the highest total credits?,SELECT dept_name FROM course GROUP BY dept_name ORDER BY sum(credits) DESC LIMIT 1,Tìm tên của bộ phận cung cấp tổng số tín dụng cao nhất?
What is the name of the department with the most credits?,SELECT dept_name FROM course GROUP BY dept_name ORDER BY sum(credits) DESC LIMIT 1,Tên của bộ phận có nhiều tín dụng nhất là gì?
List the names of all courses ordered by their titles and credits.,"SELECT title FROM course ORDER BY title ,  credits",Liệt kê tên của tất cả các khóa học được đặt hàng theo tiêu đề và tín dụng của họ.
"Given the titles of all courses, in order of titles and credits.","SELECT title FROM course ORDER BY title ,  credits","Đưa ra các tiêu đề của tất cả các khóa học, theo thứ tự các tiêu đề và tín dụng."
Which department has the lowest budget?,SELECT dept_name FROM department ORDER BY budget LIMIT 1,Bộ phận nào có ngân sách thấp nhất?
Give the name of the department with the lowest budget.,SELECT dept_name FROM department ORDER BY budget LIMIT 1,Đặt tên của bộ phận với ngân sách thấp nhất.
List the names and buildings of all departments sorted by the budget from large to small.,"SELECT dept_name ,  building FROM department ORDER BY budget DESC",Liệt kê các tên và tòa nhà của tất cả các bộ phận được sắp xếp theo ngân sách từ lớn đến nhỏ.
"What are the names and buildings of the deparments, sorted by budget descending?","SELECT dept_name ,  building FROM department ORDER BY budget DESC","Tên và tòa nhà của các Deparments là gì, được sắp xếp theo ngân sách giảm dần?"
Who is the instructor with the highest salary?,SELECT name FROM instructor ORDER BY salary DESC LIMIT 1,Ai là người hướng dẫn với mức lương cao nhất?
Give the name of the highest paid instructor.,SELECT name FROM instructor ORDER BY salary DESC LIMIT 1,Đặt tên của người hướng dẫn được trả lương cao nhất.
List the information of all instructors ordered by their salary in ascending order.,SELECT * FROM instructor ORDER BY salary,Liệt kê thông tin của tất cả các giảng viên được đặt hàng theo mức lương của họ theo thứ tự tăng dần.
"Give all information regarding instructors, in order of salary from least to greatest.",SELECT * FROM instructor ORDER BY salary,"Cung cấp tất cả thông tin liên quan đến người hướng dẫn, theo thứ tự tiền lương từ ít nhất đến lớn nhất."
Find the name of the students and their department names sorted by their total credits in ascending order.,"SELECT name ,  dept_name FROM student ORDER BY tot_cred",Tìm tên của các sinh viên và tên khoa của họ được sắp xếp theo tổng số tín dụng của họ theo thứ tự tăng dần.
"What are the names of students and their respective departments, ordered by number of credits from least to greatest?","SELECT name ,  dept_name FROM student ORDER BY tot_cred","Tên của sinh viên và các khoa tương ứng của họ, được đặt hàng theo số lượng tín dụng từ ít nhất là lớn nhất?"
list in alphabetic order all course names and their instructors' names in year 2008.,"SELECT T1.title ,  T3.name FROM course AS T1 JOIN teaches AS T2 ON T1.course_id  =  T2.course_id JOIN instructor AS T3 ON T2.id  =  T3.id WHERE YEAR  =  2008 ORDER BY T1.title",Liệt kê theo thứ tự chữ cái tất cả các tên khóa học và tên của người hướng dẫn của họ trong năm 2008.
"Show all titles and their instructors' names for courses in 2008, in alphabetical order by title.","SELECT T1.title ,  T3.name FROM course AS T1 JOIN teaches AS T2 ON T1.course_id  =  T2.course_id JOIN instructor AS T3 ON T2.id  =  T3.id WHERE YEAR  =  2008 ORDER BY T1.title","Hiển thị tất cả các tiêu đề và tên của người hướng dẫn của họ cho các khóa học trong năm 2008, theo thứ tự bảng chữ cái theo tiêu đề."
Find the name of instructors who are advising more than one student.,SELECT T1.name FROM instructor AS T1 JOIN advisor AS T2 ON T1.id  =  T2.i_id GROUP BY T2.i_id HAVING count(*)  >  1,Tìm tên của các giảng viên đang tư vấn nhiều hơn một sinh viên.
What are the names of instructors who advise more than one student?,SELECT T1.name FROM instructor AS T1 JOIN advisor AS T2 ON T1.id  =  T2.i_id GROUP BY T2.i_id HAVING count(*)  >  1,Tên của các giảng viên tư vấn nhiều hơn một sinh viên là gì?
Find the name of the students who have more than one advisor?,SELECT T1.name FROM student AS T1 JOIN advisor AS T2 ON T1.id  =  T2.s_id GROUP BY T2.s_id HAVING count(*)  >  1,Tìm tên của các sinh viên có nhiều hơn một cố vấn?
What are the names of students who have more than one advisor?,SELECT T1.name FROM student AS T1 JOIN advisor AS T2 ON T1.id  =  T2.s_id GROUP BY T2.s_id HAVING count(*)  >  1,Tên của các sinh viên có nhiều hơn một cố vấn là gì?
Find the number of rooms with more than 50 capacity for each building.,"SELECT count(*) ,  building FROM classroom WHERE capacity  >  50 GROUP BY building",Tìm số lượng phòng có hơn 50 công suất cho mỗi tòa nhà.
How many rooms in each building have a capacity of over 50?,"SELECT count(*) ,  building FROM classroom WHERE capacity  >  50 GROUP BY building",Có bao nhiêu phòng trong mỗi tòa nhà có công suất trên 50?
Find the maximum and average capacity among rooms in each building.,"SELECT max(capacity) ,  avg(capacity) ,  building FROM classroom GROUP BY building",Tìm công suất tối đa và trung bình giữa các phòng trong mỗi tòa nhà.
What are the greatest and average capacity for rooms in each building?,"SELECT max(capacity) ,  avg(capacity) ,  building FROM classroom GROUP BY building",Công suất lớn nhất và trung bình cho các phòng trong mỗi tòa nhà là gì?
Find the title of the course that is offered by more than one department.,SELECT title FROM course GROUP BY title HAVING count(*)  >  1,Tìm tiêu đề của khóa học được cung cấp bởi nhiều bộ phận.
What are the titles of courses that are offered in more than one department?,SELECT title FROM course GROUP BY title HAVING count(*)  >  1,Các tiêu đề của các khóa học được cung cấp trong nhiều bộ phận là gì?
Find the total credits of courses provided by different department.,"SELECT sum(credits) ,  dept_name FROM course GROUP BY dept_name",Tìm tổng số tín dụng của các khóa học được cung cấp bởi bộ phận khác nhau.
How many total credits are offered by each department?,"SELECT sum(credits) ,  dept_name FROM course GROUP BY dept_name",Có bao nhiêu khoản tín dụng được cung cấp bởi mỗi bộ phận?
Find the minimum salary for the departments whose average salary is above the average payment of all instructors.,"SELECT min(salary) ,  dept_name FROM instructor GROUP BY dept_name HAVING avg(salary)  >  (SELECT avg(salary) FROM instructor)",Tìm mức lương tối thiểu cho các bộ phận có mức lương trung bình cao hơn mức thanh toán trung bình của tất cả các giảng viên.
What is the lowest salary in departments with average salary greater than the overall average.,"SELECT min(salary) ,  dept_name FROM instructor GROUP BY dept_name HAVING avg(salary)  >  (SELECT avg(salary) FROM instructor)",Mức lương thấp nhất trong các phòng ban có mức lương trung bình lớn hơn mức trung bình chung.
Find the number of courses provided in each semester and year.,"SELECT count(*) ,  semester ,  YEAR FROM SECTION GROUP BY semester ,  YEAR",Tìm số lượng các khóa học được cung cấp trong mỗi học kỳ và năm.
How many courses are provided in each semester and year?,"SELECT count(*) ,  semester ,  YEAR FROM SECTION GROUP BY semester ,  YEAR",Có bao nhiêu khóa học được cung cấp trong mỗi học kỳ và năm?
Find the year which offers the largest number of courses.,SELECT YEAR FROM SECTION GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,Tìm năm cung cấp số lượng khóa học lớn nhất.
Which year had the greatest number of courses?,SELECT YEAR FROM SECTION GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,Năm nào có số lượng khóa học lớn nhất?
Find the year and semester when offers the largest number of courses.,"SELECT semester ,  YEAR FROM SECTION GROUP BY semester ,  YEAR ORDER BY count(*) DESC LIMIT 1",Tìm năm và học kỳ khi cung cấp số lượng lớn nhất các khóa học.
What is the year and semester with the most courses?,"SELECT semester ,  YEAR FROM SECTION GROUP BY semester ,  YEAR ORDER BY count(*) DESC LIMIT 1",Năm và học kỳ với các khóa học nhất là gì?
Find the name of department has the highest amount of students?,SELECT dept_name FROM student GROUP BY dept_name ORDER BY count(*) DESC LIMIT 1,Tìm tên của khoa có số lượng sinh viên cao nhất?
What is the name of the deparment with the highest enrollment?,SELECT dept_name FROM student GROUP BY dept_name ORDER BY count(*) DESC LIMIT 1,Tên của sự suy giảm với số lượng đăng ký cao nhất là gì?
Find the total number of students in each department.,"SELECT count(*) ,  dept_name FROM student GROUP BY dept_name",Tìm tổng số sinh viên trong mỗi khoa.
How many students are in each department?,"SELECT count(*) ,  dept_name FROM student GROUP BY dept_name",Có bao nhiêu sinh viên trong mỗi khoa?
Find the semester and year which has the least number of student taking any class.,"SELECT semester ,  YEAR FROM takes GROUP BY semester ,  YEAR ORDER BY count(*) LIMIT 1",Tìm học kỳ và năm có số lượng sinh viên ít nhất tham gia bất kỳ lớp học nào.
Which semeseter and year had the fewest students?,"SELECT semester ,  YEAR FROM takes GROUP BY semester ,  YEAR ORDER BY count(*) LIMIT 1",Semeseter và năm nào có ít sinh viên nhất?
What is the id of the instructor who advises of all students from History department?,SELECT i_id FROM advisor AS T1 JOIN student AS T2 ON T1.s_id  =  T2.id WHERE T2.dept_name  =  'History',ID của người hướng dẫn tư vấn của tất cả các sinh viên từ Khoa Lịch sử là gì?
Give id of the instructor who advises students in the History department.,SELECT i_id FROM advisor AS T1 JOIN student AS T2 ON T1.s_id  =  T2.id WHERE T2.dept_name  =  'History',Đưa ra ID của người hướng dẫn tư vấn cho sinh viên trong khoa lịch sử.
Find the name and salary of the instructors who are advisors of any student from History department?,"SELECT T2.name ,  T2.salary FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id  =  T2.id JOIN student AS T3 ON T1.s_id  =  T3.id WHERE T3.dept_name  =  'History'",Tìm tên và tiền lương của các giảng viên là cố vấn của bất kỳ sinh viên nào từ Khoa Lịch sử?
What are the names and salaries of instructors who advises students in the History department?,"SELECT T2.name ,  T2.salary FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id  =  T2.id JOIN student AS T3 ON T1.s_id  =  T3.id WHERE T3.dept_name  =  'History'",Tên và tiền lương của người hướng dẫn tư vấn cho sinh viên trong khoa lịch sử là gì?
Find the id of the courses that do not have any prerequisite?,SELECT course_id FROM course EXCEPT SELECT course_id FROM prereq,Tìm ID của các khóa học không có điều kiện tiên quyết?
What are the ids of courses without prerequisites?,SELECT course_id FROM course EXCEPT SELECT course_id FROM prereq,ID của các khóa học không có điều kiện tiên quyết là gì?
Find the name of the courses that do not have any prerequisite?,SELECT title FROM course WHERE course_id NOT IN (SELECT course_id FROM prereq),Tìm tên của các khóa học không có điều kiện tiên quyết?
What are the names of courses without prerequisites?,SELECT title FROM course WHERE course_id NOT IN (SELECT course_id FROM prereq),Tên của các khóa học không có điều kiện tiên quyết là gì?
What is the title of the prerequisite class of International Finance course?,SELECT title FROM course WHERE course_id IN (SELECT T1.prereq_id FROM prereq AS T1 JOIN course AS T2 ON T1.course_id  =  T2.course_id WHERE T2.title  =  'International Finance'),Tiêu đề của lớp học tiên quyết của khóa học tài chính quốc tế là gì?
Give the title of the prerequisite to the course International Finance.,SELECT title FROM course WHERE course_id IN (SELECT T1.prereq_id FROM prereq AS T1 JOIN course AS T2 ON T1.course_id  =  T2.course_id WHERE T2.title  =  'International Finance'),Đưa ra tiêu đề của điều kiện tiên quyết cho khóa học Tài chính quốc tế.
Find the title of course whose prerequisite is course Differential Geometry.,SELECT title FROM course WHERE course_id IN (SELECT T1.course_id FROM prereq AS T1 JOIN course AS T2 ON T1.prereq_id  =  T2.course_id WHERE T2.title  =  'Differential Geometry'),Tìm tiêu đề tất nhiên là điều kiện tiên quyết là hình học khác biệt khóa học.
What is the title of the course with Differential Geometry as a prerequisite?,SELECT title FROM course WHERE course_id IN (SELECT T1.course_id FROM prereq AS T1 JOIN course AS T2 ON T1.prereq_id  =  T2.course_id WHERE T2.title  =  'Differential Geometry'),Tiêu đề của khóa học với hình học khác biệt là điều kiện tiên quyết là gì?
Find the names of students who have taken any course in the fall semester of year 2003.,SELECT name FROM student WHERE id IN (SELECT id FROM takes WHERE semester  =  'Fall' AND YEAR  =  2003),Tìm tên của những sinh viên đã tham gia bất kỳ khóa học nào trong học kỳ mùa thu năm 2003.
What are the names of students who took a course in the Fall of 2003?,SELECT name FROM student WHERE id IN (SELECT id FROM takes WHERE semester  =  'Fall' AND YEAR  =  2003),Tên của các sinh viên đã tham gia một khóa học vào mùa thu năm 2003 là gì?
What is the title of the course that was offered at building Chandler during the fall semester in the year of 2010?,SELECT T1.title FROM course AS T1 JOIN SECTION AS T2 ON T1.course_id  =  T2.course_id WHERE building  =  'Chandler' AND semester  =  'Fall' AND YEAR  =  2010,Tiêu đề của khóa học được cung cấp tại Building Chandler trong học kỳ mùa thu năm 2010 là gì?
Give the title of the course offered in Chandler during the Fall of 2010.,SELECT T1.title FROM course AS T1 JOIN SECTION AS T2 ON T1.course_id  =  T2.course_id WHERE building  =  'Chandler' AND semester  =  'Fall' AND YEAR  =  2010,Đưa ra tiêu đề của khóa học được cung cấp trong Chandler trong mùa thu năm 2010.
Find the name of the instructors who taught C Programming course before.,SELECT T1.name FROM instructor AS T1 JOIN teaches AS T2 ON T1.id  =  T2.id JOIN course AS T3 ON T2.course_id  =  T3.course_id WHERE T3.title  =  'C Programming',Tìm tên của các giảng viên đã dạy khóa học lập trình C trước đây.
What are the names of instructors who have taught C Programming courses?,SELECT T1.name FROM instructor AS T1 JOIN teaches AS T2 ON T1.id  =  T2.id JOIN course AS T3 ON T2.course_id  =  T3.course_id WHERE T3.title  =  'C Programming',Tên của các giảng viên đã dạy các khóa học lập trình C là gì?
Find the name and salary of instructors who are advisors of the students from the Math department.,"SELECT T2.name ,  T2.salary FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id  =  T2.id JOIN student AS T3 ON T1.s_id  =  T3.id WHERE T3.dept_name  =  'Math'",Tìm tên và tiền lương của các giảng viên là cố vấn của các sinh viên từ khoa toán.
What are the names and salaries of instructors who advise students in the Math department?,"SELECT T2.name ,  T2.salary FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id  =  T2.id JOIN student AS T3 ON T1.s_id  =  T3.id WHERE T3.dept_name  =  'Math'",Tên và tiền lương của các giảng viên tư vấn cho học sinh trong khoa toán?
"Find the name of instructors who are advisors of the students from the Math department, and sort the results by students' total credit.",SELECT T2.name FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id  =  T2.id JOIN student AS T3 ON T1.s_id  =  T3.id WHERE T3.dept_name  =  'Math' ORDER BY T3.tot_cred,"Tìm tên của các giảng viên là cố vấn của các sinh viên từ khoa toán, và sắp xếp kết quả theo tổng số tín dụng của sinh viên."
What are the names of all instructors who advise students in the math depart sorted by total credits of the student.,SELECT T2.name FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id  =  T2.id JOIN student AS T3 ON T1.s_id  =  T3.id WHERE T3.dept_name  =  'Math' ORDER BY T3.tot_cred,Tên của tất cả các giảng viên tư vấn cho học sinh trong việc khởi hành toán được sắp xếp theo tổng số tín dụng của học sinh.
What is the course title of the prerequisite of course Mobile Computing?,SELECT title FROM course WHERE course_id IN (SELECT T1.prereq_id FROM prereq AS T1 JOIN course AS T2 ON T1.course_id  =  T2.course_id WHERE T2.title  =  'Mobile Computing'),Tiêu đề khóa học của điều kiện tiên quyết tất nhiên là điện toán di động là gì?
What is the title of the course that is a prerequisite for Mobile Computing?,SELECT title FROM course WHERE course_id IN (SELECT T1.prereq_id FROM prereq AS T1 JOIN course AS T2 ON T1.course_id  =  T2.course_id WHERE T2.title  =  'Mobile Computing'),Tiêu đề của khóa học là điều kiện tiên quyết cho điện toán di động là gì?
Find the name of instructor who is the advisor of the student who has the highest number of total credits.,SELECT T2.name FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id  =  T2.id JOIN student AS T3 ON T1.s_id  =  T3.id ORDER BY T3.tot_cred DESC LIMIT 1,Tìm tên của người hướng dẫn là cố vấn của học sinh có số lượng tín dụng cao nhất.
What is the name of the instructor who advises the student with the greatest number of total credits?,SELECT T2.name FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id  =  T2.id JOIN student AS T3 ON T1.s_id  =  T3.id ORDER BY T3.tot_cred DESC LIMIT 1,Tên của người hướng dẫn tư vấn cho sinh viên với số lượng lớn nhất trong tổng số tín dụng là gì?
Find the name of instructors who didn't teach any courses?,SELECT name FROM instructor WHERE id NOT IN (SELECT id FROM teaches),Tìm tên của những người hướng dẫn không dạy bất kỳ khóa học nào?
What are the names of instructors who didn't teach?,SELECT name FROM instructor WHERE id NOT IN (SELECT id FROM teaches),Tên của những người hướng dẫn không dạy là gì?
Find the id of instructors who didn't teach any courses?,SELECT id FROM instructor EXCEPT SELECT id FROM teaches,Tìm ID của các giảng viên không dạy bất kỳ khóa học nào?
What are the ids of instructors who didnt' teach?,SELECT id FROM instructor EXCEPT SELECT id FROM teaches,ID của các giảng viên không dạy là gì?
Find the names of instructors who didn't each any courses in any Spring semester.,SELECT name FROM instructor WHERE id NOT IN (SELECT id FROM teaches WHERE semester  =  'Spring'),"Tìm tên của các giảng viên, những người không có bất kỳ khóa học nào trong bất kỳ học kỳ mùa xuân nào."
What are the names of instructors who didn't teach courses in the Spring?,SELECT name FROM instructor WHERE id NOT IN (SELECT id FROM teaches WHERE semester  =  'Spring'),Tên của các giảng viên không dạy các khóa học vào mùa xuân là gì?
Find the name of the department which has the highest average salary of professors.,SELECT dept_name FROM instructor GROUP BY dept_name ORDER BY avg(salary) DESC LIMIT 1,Tìm tên của bộ phận có mức lương trung bình cao nhất của các giáo sư.
Which department has the highest average instructor salary?,SELECT dept_name FROM instructor GROUP BY dept_name ORDER BY avg(salary) DESC LIMIT 1,Bộ phận nào có mức lương hướng dẫn trung bình cao nhất?
Find the number and averaged salary of all instructors who are in the department with the highest budget.,"SELECT avg(T1.salary) ,  count(*) FROM instructor AS T1 JOIN department AS T2 ON T1.dept_name  =  T2.dept_name ORDER BY T2.budget DESC LIMIT 1",Tìm số lượng và mức lương trung bình của tất cả các giảng viên trong bộ phận có ngân sách cao nhất.
"How many instructors are in the department with the highest budget, and what is their average salary?","SELECT avg(T1.salary) ,  count(*) FROM instructor AS T1 JOIN department AS T2 ON T1.dept_name  =  T2.dept_name ORDER BY T2.budget DESC LIMIT 1","Có bao nhiêu người hướng dẫn trong bộ phận có ngân sách cao nhất, và mức lương trung bình của họ là bao nhiêu?"
What is the title and credits of the course that is taught in the largest classroom (with the highest capacity)?,"SELECT T3.title ,  T3.credits FROM classroom AS T1 JOIN SECTION AS T2 ON T1.building  =  T2.building AND T1.room_number  =  T2.room_number JOIN course AS T3 ON T2.course_id  =  T3.course_id WHERE T1.capacity  =  (SELECT max(capacity) FROM classroom)",Tiêu đề và tín dụng của khóa học được dạy trong lớp học lớn nhất (với công suất cao nhất) là gì?
Give the title and credits for the course that is taught in the classroom with the greatest capacity.,"SELECT T3.title ,  T3.credits FROM classroom AS T1 JOIN SECTION AS T2 ON T1.building  =  T2.building AND T1.room_number  =  T2.room_number JOIN course AS T3 ON T2.course_id  =  T3.course_id WHERE T1.capacity  =  (SELECT max(capacity) FROM classroom)",Đưa ra tiêu đề và tín dụng cho khóa học được dạy trong lớp học với khả năng lớn nhất.
Find the name of students who didn't take any course from Biology department.,SELECT name FROM student WHERE id NOT IN (SELECT T1.id FROM takes AS T1 JOIN course AS T2 ON T1.course_id  =  T2.course_id WHERE T2.dept_name  =  'Biology'),Tìm tên của những sinh viên không học bất kỳ khóa học nào từ khoa sinh học.
What are the names of students who haven't taken any Biology courses?,SELECT name FROM student WHERE id NOT IN (SELECT T1.id FROM takes AS T1 JOIN course AS T2 ON T1.course_id  =  T2.course_id WHERE T2.dept_name  =  'Biology'),Tên của những sinh viên chưa tham gia các khóa học sinh học là gì?
Find the total number of students and total number of instructors for each department.,"SELECT count(DISTINCT T2.id) ,  count(DISTINCT T3.id) ,  T3.dept_name FROM department AS T1 JOIN student AS T2 ON T1.dept_name  =  T2.dept_name JOIN instructor AS T3 ON T1.dept_name  =  T3.dept_name GROUP BY T3.dept_name",Tìm tổng số sinh viên và tổng số người hướng dẫn cho mỗi bộ phận.
How many students and instructors are in each department?,"SELECT count(DISTINCT T2.id) ,  count(DISTINCT T3.id) ,  T3.dept_name FROM department AS T1 JOIN student AS T2 ON T1.dept_name  =  T2.dept_name JOIN instructor AS T3 ON T1.dept_name  =  T3.dept_name GROUP BY T3.dept_name",Có bao nhiêu sinh viên và người hướng dẫn trong mỗi khoa?
Find the name of students who have taken the prerequisite course of the course with title International Finance.,SELECT T1.name FROM student AS T1 JOIN takes AS T2 ON T1.id  =  T2.id WHERE T2.course_id IN (SELECT T4.prereq_id FROM course AS T3 JOIN prereq AS T4 ON T3.course_id  =  T4.course_id WHERE T3.title  =  'International Finance'),Tìm tên của các sinh viên đã tham gia khóa học tiên quyết của khóa học với tiêu đề Tài chính quốc tế.
What are the names of students who have taken the prerequisite for the course International Finance?,SELECT T1.name FROM student AS T1 JOIN takes AS T2 ON T1.id  =  T2.id WHERE T2.course_id IN (SELECT T4.prereq_id FROM course AS T3 JOIN prereq AS T4 ON T3.course_id  =  T4.course_id WHERE T3.title  =  'International Finance'),Tên của những sinh viên đã lấy điều kiện tiên quyết cho khóa học tài chính quốc tế là gì?
Find the name and salary of instructors whose salary is below the average salary of the instructors in the Physics department.,"SELECT name ,  salary FROM instructor WHERE salary  <  (SELECT avg(salary) FROM instructor WHERE dept_name  =  'Physics')",Tìm tên và tiền lương của người hướng dẫn có mức lương dưới mức lương trung bình của các giảng viên trong khoa vật lý.
What are the names and salaries for instructors who earn less than the average salary of instructors in the Physics department?,"SELECT name ,  salary FROM instructor WHERE salary  <  (SELECT avg(salary) FROM instructor WHERE dept_name  =  'Physics')",Tên và tiền lương cho người hướng dẫn kiếm được ít hơn mức lương trung bình của người hướng dẫn trong bộ phận vật lý?
Find the name of students who took some course offered by Statistics department.,SELECT T3.name FROM course AS T1 JOIN takes AS T2 ON T1.course_id  =  T2.course_id JOIN student AS T3 ON T2.id  =  T3.id WHERE T1.dept_name  =  'Statistics',Tìm tên của các sinh viên đã tham gia một số khóa học được cung cấp bởi bộ phận thống kê.
What are the names of students who have taken Statistics courses?,SELECT T3.name FROM course AS T1 JOIN takes AS T2 ON T1.course_id  =  T2.course_id JOIN student AS T3 ON T2.id  =  T3.id WHERE T1.dept_name  =  'Statistics',Tên của các sinh viên đã tham gia các khóa học thống kê là gì?
"Find the building, room number, semester and year of all courses offered by Psychology department sorted by course titles.","SELECT T2.building ,  T2.room_number ,  T2.semester ,  T2.year FROM course AS T1 JOIN SECTION AS T2 ON T1.course_id  =  T2.course_id WHERE T1.dept_name  =  'Psychology' ORDER BY T1.title","Tìm tòa nhà, số phòng, học kỳ và năm của tất cả các khóa học được cung cấp bởi bộ phận tâm lý được sắp xếp theo tiêu đề khóa học."
"What are the building, room number, semester and year of courses in the Psychology department, sorted using course title?","SELECT T2.building ,  T2.room_number ,  T2.semester ,  T2.year FROM course AS T1 JOIN SECTION AS T2 ON T1.course_id  =  T2.course_id WHERE T1.dept_name  =  'Psychology' ORDER BY T1.title","Tòa nhà, số phòng, học kỳ và năm của các khóa học trong khoa tâm lý học, được sắp xếp bằng tiêu đề khóa học?"
Find the names of all instructors in computer science department,SELECT name FROM instructor WHERE dept_name  =  'Comp. Sci.',Tìm tên của tất cả các giảng viên trong Khoa Khoa học Máy tính
What are the names of all instructors in the Comp. Sci. department?,SELECT name FROM instructor WHERE dept_name  =  'Comp. Sci.',Tên của tất cả các giảng viên trong comp. Sci. phòng?
Find the names of all instructors in Comp. Sci. department with salary > 80000.,SELECT name FROM instructor WHERE dept_name  =  'Comp. Sci.'  AND salary  >  80000,Tìm tên của tất cả các giảng viên trong comp. Sci. Bộ phận có lương> 80000.
What are the names of the instructors in the Comp. Sci. department who earn more than 80000?,SELECT name FROM instructor WHERE dept_name  =  'Comp. Sci.'  AND salary  >  80000,Tên của những người hướng dẫn trong comp. Sci. Bộ phận kiếm được hơn 80000?
Find the names of all instructors who have taught some course and the course_id.,"SELECT name ,  course_id FROM instructor AS T1 JOIN teaches AS T2 ON T1.ID  =  T2.ID",Tìm tên của tất cả các giảng viên đã dạy một số khóa học và khóa học_id.
"What are the names of all instructors who have taught a course, as well as the corresponding course id?","SELECT name ,  course_id FROM instructor AS T1 JOIN teaches AS T2 ON T1.ID  =  T2.ID","Tên của tất cả các giảng viên đã dạy một khóa học, cũng như ID khóa học tương ứng là gì?"
Find the names of all instructors in the Art department who have taught some course and the course_id.,"SELECT name ,  course_id FROM instructor AS T1 JOIN teaches AS T2 ON T1.ID  =  T2.ID WHERE T1.dept_name  =  'Art'",Tìm tên của tất cả các giảng viên trong bộ phận nghệ thuật đã dạy một số khóa học và khóa học_id.
"What are the names of Art instructors who have taught a course, and the corresponding course id?","SELECT name ,  course_id FROM instructor AS T1 JOIN teaches AS T2 ON T1.ID  =  T2.ID WHERE T1.dept_name  =  'Art'",Tên của các giảng viên nghệ thuật đã dạy một khóa học là gì và ID khóa học tương ứng là gì?
Find the names of all instructors whose name includes the substring “dar”.,SELECT name FROM instructor WHERE name LIKE '%dar%',Tìm tên của tất cả các giáo viên hướng dẫn có tên bao gồm cả con Dar Dar.
"What are the names of all instructors with names that include ""dar""?",SELECT name FROM instructor WHERE name LIKE '%dar%',"Tên của tất cả các giảng viên có tên bao gồm ""DAR"" là gì?"
List in alphabetic order the names of all distinct instructors.,SELECT DISTINCT name FROM  instructor ORDER BY name,Liệt kê theo thứ tự chữ cái tên của tất cả các giảng viên riêng biệt.
